product_name,overall_rating,review_rating,review_title,review_text,sentiment
Vivo T3,4.3,4,Good choice,Display is bright and colourful.,Positive
Vivo T3,4.3,4,Value for money,Battery lasts all day with moderate usage.,Neutral
Vivo T3,4.3,5,Worth every penny,"Excellent display, smooth performance and amazing battery life.",Positive
Vivo T3,4.3,5,Awesome camera,"Excellent display, smooth performance and amazing battery life.",Positive
Vivo T3,4.3,2,Could be better,Heating issue during gaming.,Neutral
Vivo T3,4.3,5,Mind-blowing purchase,Gaming performance is excellent without heating.,Positive
Vivo T3,4.3,5,Mind-blowing purchase,"Excellent display, smooth performance and amazing battery life.",Positive
Vivo T3,4.3,5,Awesome camera,Highly recommended for everyday use.,Negative
Vivo T3,4.3,3,Average experience,Camera is average in low light.,Positive
Vivo T3,4.3,4,Good choice,Worth buying.,Positive
Vivo T3,4.3,5,Excellent phone,Very fast phone with premium build quality.,Positive
Vivo T3,4.3,4,Very good,Good software experience.,Positive
Vivo T3,4.3,5,Worth every penny,Gaming performance is excellent without heating.,Positive
Vivo T3,4.3,4,Value for money,Battery lasts all day with moderate usage.,Neutral
Vivo T3,4.3,4,Good choice,Display is bright and colourful.,Positive
Vivo T3,4.3,5,Highly recommended,Highly recommended for everyday use.,Negative
Vivo T3,4.3,5,Mind-blowing purchase,Highly recommended for everyday use.,Negative
Vivo T3,4.3,5,Worth every penny,Gaming performance is excellent without heating.,Positive
Vivo T3,4.3,3,Decent phone,Battery backup could be better.,Positive
OPPO F27 Pro+,4.2,3,Decent phone,Camera is average in low light.,Positive
OPPO F27 Pro+,4.2,5,Mind-blowing purchase,Very fast phone with premium build quality.,Positive
OPPO F27 Pro+,4.2,5,Worth every penny,Gaming performance is excellent without heating.,Positive
OPPO F27 Pro+,4.2,4,Good choice,Good software experience.,Positive
OPPO F27 Pro+,4.2,4,Satisfied,Good software experience.,Positive
OPPO F27 Pro+,4.2,4,Nice product,Overall performance is good for the price.,Positive
OPPO F27 Pro+,4.2,5,Highly recommended,Highly recommended for everyday use.,Negative
OPPO F27 Pro+,4.2,2,Needs improvement,Battery performance is disappointing.,Negative
OPPO F27 Pro+,4.2,5,Mind-blowing purchase,"Excellent display, smooth performance and amazing battery life.",Positive
OPPO F27 Pro+,4.2,3,Mixed feelings,Overall an average experience.,Negative
OPPO F27 Pro+,4.2,5,Excellent phone,Gaming performance is excellent without heating.,Positive
OPPO F27 Pro+,4.2,4,Value for money,Display is bright and colourful.,Positive
OPPO F27 Pro+,4.2,5,Excellent phone,Very fast phone with premium build quality.,Positive
OPPO F27 Pro+,4.2,5,Worth every penny,"Excellent display, smooth performance and amazing battery life.",Positive
OPPO F27 Pro+,4.2,4,Very good,Display is bright and colourful.,Positive
OPPO F27 Pro+,4.2,4,Satisfied,Overall performance is good for the price.,Positive
OPPO F27 Pro+,4.2,5,Excellent phone,Highly recommended for everyday use.,Negative
OPPO F27 Pro+,4.2,4,Value for money,Battery lasts all day with moderate usage.,Neutral
OPPO F27 Pro+,4.2,5,Highly recommended,Highly recommended for everyday use.,Negative
OPPO F27 Pro+,4.2,5,Awesome camera,Gaming performance is excellent without heating.,Positive
Moto G85,4.3,5,Worth every penny,Highly recommended for everyday use.,Negative
Moto G85,4.3,5,Highly recommended,Very fast phone with premium build quality.,Positive
Moto G85,4.3,5,Awesome camera,"Excellent display, smooth performance and amazing battery life.",Positive
Moto G85,4.3,5,Awesome camera,Camera quality is outstanding in all lighting conditions.,Positive
Moto G85,4.3,4,Value for money,Display is bright and colourful.,Positive
Moto G85,4.3,5,Worth every penny,Very fast phone with premium build quality.,Positive
Moto G85,4.3,4,Satisfied,Battery lasts all day with moderate usage.,Neutral
Moto G85,4.3,3,Okay overall,Performance is decent but software needs improvement.,Positive
Moto G85,4.3,5,Highly recommended,"Excellent display, smooth performance and amazing battery life.",Positive
Moto G85,4.3,4,Nice product,Worth buying.,Positive
Moto G85,4.3,3,Okay overall,Expected more features.,Positive
Moto G85,4.3,5,Excellent phone,Highly recommended for everyday use.,Negative
Moto G85,4.3,4,Satisfied,Battery lasts all day with moderate usage.,Neutral
Moto G85,4.3,5,Mind-blowing purchase,Highly recommended for everyday use.,Negative
Moto G85,4.3,2,Could be better,Camera quality did not meet expectations.,Neutral
Moto G85,4.3,4,Good choice,Battery lasts all day with moderate usage.,Neutral
Moto G85,4.3,5,Mind-blowing purchase,Gaming performance is excellent without heating.,Positive
Moto G85,4.3,4,Satisfied,Worth buying.,Positive
Moto G85,4.3,5,Mind-blowing purchase,Very fast phone with premium build quality.,Positive
Moto G85,4.3,4,Very good,Worth buying.,Positive
